Ingredient,Category,ComedogenicScore,Note,Concern
"1,2-Hexanediol",Solvent,0,Humectant and mild preservative; safe.,
Acrylates/Ammonium Methacrylate Copolymer,Film Former,0,Forms flexible film; non-comedogenic.,
Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,Film Former,0,Film-forming agent; non-comedogenic.,
Alcohol Denat.,Solvent,2,Non-comedogenic but may irritate and weaken barrier in some users.,Drying Alcohol
Allantoin,Soothing Agent,0,Calms irritation; supports skin healing and barrier repair.,
Ammonium Polyacryloyldimethyl Taurate,Polymer/Thickener,0,Stabilizer; improves texture and non-comedogenic.,
Anhydroxylitol,Humectant,0,Moisture retention ingredient; non-comedogenic.,
Aqua/Water/Eau,Solvent,0,Base solvent; non-comedogenic.,
Arachidic Acid,Fatty Acid,2,Long-chain saturated fatty acid; mild clogging risk in oily skin.,Pore-clogging
Arachidyl Alcohol,Fatty Alcohol,1,Long-chain fatty alcohol; low clogging potential.,
Arachidyl Glucoside,Emulsifier,1,Mild emulsifier; derived from sugar and fatty alcohol.,
Behenic Acid,Fatty Acid,1,Long-chain saturated fatty acid; low clogging risk.,
Behentrimonium Methosulfate,Conditioning Agent,1,"Softens, detangles; low clogging risk.",
Behenyl Alcohol,Fatty Alcohol,1,Long-chain fatty alcohol; safe for acne-prone skin.,
Beta-Glucan,Soothing/Repair,0,"Polysaccharide with calming, barrier-supportive effects.",
Betaine,Humectant,0,Amino acid derivative; hydrates and balances skin.,
Butylene Glycol,Humectant,0,Humectant and penetration enhancer; generally acne-safe.,
Butylene Glycol Dicaprylate/Dicaprate,Emollient Ester,2,Light emollient; may feel oily on very acne-prone skin.,Pore-clogging
C12-20 Alkyl Glucoside,Emulsifier,1,Plant-derived mild emulsifier; acne-safe.,
C13-14 Isoparaffin,Emollient,1,Light mineral oil derivative; non-comedogenic.,
C14-22 Alcohols,Fatty Alcohol Blend,1,Long-chain fatty alcohols; safe for most acne-prone skin.,
Caprooyl Phytosphingosine,Ceramide Derivative,0,Barrier-supportive lipid derivative.,
Caprooyl Sphingosine,Ceramide Derivative,0,Skin lipid; helps restore moisture barrier.,
Caprylic/Capric Triglyceride,Emollient/Oil,2,Light oil; rarely comedogenic.,Pore-clogging
Capryloyl Glycine,Skin Conditioner,0,Antibacterial amino acid derivative; helps control acne bacteria.,
Caprylyl Glycol,Emollient,0,Moisturizer and preservative booster; safe for acne skin.,
Carbomer,Thickener/Viscosity Control,0,Polymer stabilizer; inert and non-comedogenic.,
Carnosine,Peptide,0,Antioxidant peptide; anti-inflammatory.,
Ceramide AP,Ceramide,0,Barrier lipid; supports recovery.,
Ceramide AS,Ceramide,0,Moisturizing skin lipid.,
Ceramide EOP,Ceramide,0,Skin-identical lipid; restores barrier.,
Ceramide EOS,Ceramide,0,Epidermal ceramide; barrier supportive.,
Ceramide NG,Ceramide,0,Non-comedogenic barrier lipid.,
Ceramide NP,Ceramide,0,Major skin lipid; barrier support.,
Ceramide NS,Ceramide,0,Barrier lipid; supports hydration.,
Ceteareth-20,Emulsifier,2,Mild comedogenic potential in rich formulations.,Pore-clogging
Ceteareth-25,Emulsifier,2,PEG-type emulsifier; may irritate in sensitive skin.,Pore-clogging
Cetearyl Alcohol,Fatty Alcohol,1,Mixture of cetyl + stearyl alcohol; widely considered non-comedogenic.,
Cetyl Alcohol,Fatty Alcohol,1,Long-chain fatty alcohol; generally non-comedogenic.,
Cetyl Ethylhexanoate,Emollient Ester,2,Soft emollient; low to moderate comedogenic risk.,Pore-clogging
Cholesterol,Lipid,0,Natural skin lipid; barrier repair.,
Coconut Oil,Oil,4,Rich in lauric acid; frequently comedogenic in acne-prone skin.,Pore-clogging
Cyclopentasiloxane,Silicone,0,Volatile silicone; non-comedogenic.,
Dicaprylyl Carbonate,Emollient,1,Fast-spreading emollient; non-greasy and acne-safe.,
Dimethicone,Silicone,0,Forms breathable barrier without clogging pores.,
Dimethiconol,Silicone,0,Flexible silicone polymer; smooths skin and non-comedogenic.,
Dipotassium Phosphate,Buffering Agent,0,pH stabilizer; non-comedogenic.,
Dipropylene Glycol,Humectant/Solvent,0,"Light humectant; helps dissolve actives, acne-safe.",
Disodium EDTA,Chelating Agent,0,Stabilizer; non-comedogenic.,
Ethylhexyl Palmitate,Emollient Ester,4,Known comedogenic ester; can clog pores easily.,Pore-clogging
Ethylhexylglycerin,Preservative,0,Preservative booster; safe and soothing.,
Glycerin,Humectant,0,Hydrating humectant; does not clog pores.,
Glyceryl Acrylate/Acrylic Acid Copolymer,Film Former,0,Improves texture and water retention; non-comedogenic.,
Glyceryl Caprylate,Emulsifier/Preservative,0,Mild emulsifier; also boosts preservative efficacy.,
Glyceryl Stearate,Emulsifier,0,Common emulsifier; generally non-comedogenic.,
Glyceryl Stearate SE,Emulsifier,1,Stable emulsifier; low pore-clogging potential.,
Hamamelis Virginiana Extract,Astringent/Botanical,1,May soothe but can irritate sensitive skin at high levels.,
Hyaluronic Acid,Humectant,0,Water-binding molecule; safe for all skin types.,
Hydrogenated Lecithin,Emulsifier,1,Barrier-supportive phospholipid; low risk.,
Hydrogenated Polyisobutene,Emollient,1,"Synthetic emollient; provides slip, very low comedogenic risk.",
Hydrolyzed Hyaluronic Acid,Humectant,0,Low-molecular-weight HA; improves hydration.,
Hydrolyzed Sodium Hyaluronate,Humectant,0,Small HA fragment; deeply hydrating and non-comedogenic.,
Hydroxypropyl Bislauramide MEA,Skin Barrier Lipid,0,Ceramide analog; strengthens lipid structure.,
Hydroxypropyl Bispalmitamide MEA,Skin Barrier Lipid,0,Ceramide-like molecule; strengthens barrier.,
Isobutane,Propellant,0,"Volatile gas used as propellant; evaporates, non-comedogenic.",
Isocetyl Alcohol,Fatty Alcohol,2,Heavier-feeling fatty alcohol; may feel occlusive on oily skin.,Pore-clogging
Isononyl Isononanoate,Emollient Ester,2,Silky emollient; low risk of pore clogging.,Pore-clogging
Isopropyl Myristate,Ester,5,Classic highly comedogenic ester; often clogs pores.,Pore-clogging
